,Date,Text
99,9/14/2019 22:01,"RT @DeadarticGames: BIGGEST Xbox Backward Compatibility Sale EVER
https://t.co/ROF0NExAiS #ThisWeekOnXbox #XboxOneX #XboxOne #Xbox #Microso…"
100,9/14/2019 22:01,"Order #Azure IoT Developer Kit (AZ3166) on Amazon with FREE Shipping
 #Microsoft
https://t.co/rDTO8WauHG"
101,9/14/2019 22:00,"RT @DeadarticGames: Ready to RAGE 2! Plus Raids and Minecraft
https://t.co/fQZCYkhNxd #ThisWeekOnXbox #XboxOneX #XboxOne #Xbox #Microsoft #…"
102,9/14/2019 22:00,"Already using Office 365 and ready to upgrade your business to Microsoft 365? Kai, one of our software experts, exp… https://t.co/QXbo3CwLQA"
103,9/14/2019 22:00,RT @shreyasahni13: we absolutely love #Microsoft and cup noodles! #HackOnAzure #WeAreDevengers #MicrosoftEvent #skillenza https://t.co/ZD4G…
104,9/14/2019 21:59,"RT @DeadarticGames: Ghost Recon BREAKPOINT and More Xbox Updates
https://t.co/zdl6iGltOy #ThisWeekOnXbox #GhostReconBreakpoint #TomClancys…"
105,9/14/2019 21:58,"RT @DeadarticGames: Xbox - May 2019 Games with Gold
https://t.co/4GKpIBsTFa #GamesWithGold #XboxLive #XboxOneX #XboxOne #Xbox #Microsoft #d…"
106,9/14/2019 21:58,"RT @DeadarticGames: This Week on Xbox | Awesome Membership Updates, Madden NFL 20, and More
https://t.co/Llj1Ygjkyw #ThisWeekOnXbox #XboxOn…"
107,9/14/2019 21:58,"Argentinian students used Wakelet to make writing collections of their own 😍
#Microsoft #MieExpert #WakeletWave… https://t.co/gV0DX48KJ5"
108,9/14/2019 21:58,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
109,9/14/2019 21:58,"RT @DeadarticGames: This Week on Xbox | Updates! Assassin's Creed, Headsets, and More
https://t.co/eKW3hddJI5 #ThisWeekOnXbox #XboxOneX #Xb…"
110,9/14/2019 21:57,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
111,9/14/2019 21:57,"RT @DeadarticGames: Sea of Thieves: Tall Tales - Shores of Gold Trailer
https://t.co/1mczRIaerA #SeaOfThieves #TallTales #ShoresOfGold #Xbo…"
112,9/14/2019 21:56,"#RockPiX es el #miniPC tipo #RaspberryPi en el que podrás usar #Microsoft #Windows10, y cuesta 39 dólares… https://t.co/xsXZ4be2fu"
113,9/14/2019 21:56,"9 years ago today an amazing adventure started. 

#memories #halo #haloreach #reach #xbox #xboxlive #xboxuk #gamers… https://t.co/X9m2IVzXM1"
114,9/14/2019 21:56,"RT @DeadarticGames: This Week on Xbox | Star Wars, Xbox Game Pass Ultimate, Xbox One S All Digital Edition
https://t.co/hD5GJzZKOp #ThisWee…"
115,9/14/2019 21:56,"RT @ScooterCasterNY: Protesters getting arrested after blocking the intersection out front of Microsoft store in Midtown Manhattan
#nobusin…"
116,9/14/2019 21:56,"RT @DeadarticGames: Cuphead - Launch Trailer - Nintendo Switch
https://t.co/prz4CzHIfX #Cuphead #NintendoSwitch #Switch #Nintendo #Microsof…"
117,9/14/2019 21:56,"RT @DeadarticGames: Unboxing the Xbox One S All-Digital Edition Bundle (1TB)
https://t.co/gGLaLsAR5Y #XboxOneS #AllDigital #XboxOneX #XboxO…"
118,9/14/2019 21:55,"RT @DeadarticGames: All NEW Inside Xbox (S2 Ep3)
https://t.co/yrUXUkmOyL #InsideXbox #XO19 #E3 #E32019 #XboxOneX #XboxOne #Xbox #Microsoft…"
119,9/14/2019 21:55,"RT @DeadarticGames: This Week On Xbox | Spring Sale! Zombies! Games with Gold!
https://t.co/vO7mwICg3K #ThisWeekOnXbox #SpringSale #XboxOne…"
120,9/14/2019 21:55,"So yeah that happened and it counted as a damn #death too 😭😭🤣🤣
⚙️
⚙️
⚙️
💩 Add me!!! GT: L3g3ndary Tankz 💩
🔥 [IGNORE… https://t.co/wvX2f1JP0N"
121,9/14/2019 21:55,"RT @DeadarticGames: Hellblade: Senua's Sacrifice | Nintendo Switch | Launch Trailer
https://t.co/YaxjEBb7Cn #Hellblade #SenuasSacrifice #Ni…"
122,9/14/2019 21:54,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
123,9/14/2019 21:54,RT @PacifiCali68: @JoshuaPotash @olgaNYC1211 Wth #Microsoft ??!! Why are you helping ICE out with anything? Find your moral compass asap
